object,id,ra,dec,i_mag,g_mag,bp_rp,excess_noise,i_mag1
OGLE-BLG-0002,4091125674287228416,276.3018564387556,-20.992423907874866,18.35661125183105,19.365840911865234,1.6673908233642578,0.6038937568664551,18.375713966732796
OGLE-BLG-0002,4091125575514060800,276.29758787143186,-20.99632522456833,17.384822845458984,18.53679656982422,2.030069351196289,0.2936563789844513,17.406749115242583
OGLE-BLG-0002,4091125678593270400,276.30422463815904,-20.996429372165743,15.438313484191896,16.669336318969727,2.266603469848633,0.3412577509880066,15.461684990783647
OGLE-BLG-0002,4091125571207973632,276.2973236407009,-20.99424731046673,18.43806838989257,19.47597312927246,1.735210418701172,0.5156829357147217,18.457755614677417
OGLE-BLG-0002,4091125571207976832,276.3022976722682,-20.99867649856601,17.951553344726562,18.983089447021484,1.7199630737304688,1.1231129169464111,17.971110112842748
OGLE-BLG-0002,4091125678613912832,276.2988743702276,-20.992208633617707,18.49239158630371,19.451770782470703,1.5542831420898438,0.9193899631500244,18.51046344037617
OGLE-BLG-0002,4091125678593269504,276.30372882335394,-20.9978628019964,18.168210983276367,19.37753677368164,2.198274612426758,1.0505472421646118,18.19119636829388
OGLE-BLG-0002,4091125742986767360,276.29887503463857,-20.979053626991792,16.614538192749023,17.570222854614258,1.5461196899414062,0.6885025501251221,16.632534372516325
OGLE-BLG-0002,4091125747312762752,276.3015755131585,-20.980851587066287,16.701723098754883,17.71562385559082,1.678293228149414,0.6631330251693726,16.72092142008287
OGLE-BLG-0002,4091125777346559360,276.3009178023412,-20.97633566168477,16.776790618896484,17.744230270385742,1.572185516357422,0.1219159737229347,16.79503174425553
OGLE-BLG-0002,4091125743006666368,276.2990648458295,-20.980489175840106,18.204078674316406,19.25163078308105,1.7585296630859375,0.9044502377510072,18.22395922956764
OGLE-BLG-0002,4091125777311088384,276.30325173259087,-20.97730309797795,15.0167236328125,16.219951629638672,2.179576873779297,0.0680988803505897,15.039599532616412
OGLE-BLG-0002,4091125743006665856,276.2977422392701,-20.97771124705489,17.90690803527832,18.922941207885746,1.68328857421875,0.6155136823654175,17.926149988117484
OGLE-BLG-0002,4091125743006669184,276.30337394829166,-20.98072343579677,17.815969467163086,18.88274574279785,1.8057861328125,1.3796992301940918,17.83623678008303
OGLE-BLG-0002,4091125742951323264,276.3002087817456,-20.981838845456707,17.589548110961914,18.521848678588867,1.495134353637695,1.3145897388458252,17.607052450514093
OGLE-BLG-0002,4091125743006666240,276.2990689160485,-20.981450082321825,18.26411819458008,19.278121948242188,1.6785335540771484,0.8388524055480957,18.283318911336558
OGLE-BLG-0002,4091125747312769792,276.2972381601103,-20.97817443633816,17.01856803894043,18.090940475463867,1.819751739501953,1.5789518356323242,17.038946877577686
OGLE-BLG-0002,4091125777366406016,276.30077608183444,-20.97522686219316,17.833974838256836,18.9617919921875,1.9637432098388672,0.5644412636756897,17.855439943742315
OGLE-BLG-0002,4091125777366448640,276.3044373044605,-20.977814243163746,18.213966369628903,19.67311668395996,4.22990608215332,1.2653234004974363,18.237288038832617
OGLE-BLG-0002,4091125781672500736,276.3046953648888,-20.978755228688875,17.967525482177734,19.007762908935547,1.740827560424805,0.0,17.987258527973793
OGLE-BLG-0002,4091125777366397696,276.3041918886314,-20.9768371886204,17.465288162231445,18.47020721435547,1.6573772430419922,0.7236927151679993,17.484302911805933
OGLE-BLG-0002,4091125742951350272,276.2973660095533,-20.98060801831528,12.835994720458984,14.215130805969238,2.852800369262696,0.0844596922397613,12.861604252595848
OGLE-BLG-0002,4091125747312770816,276.2972637308922,-20.976713377176463,18.045873641967773,19.00113105773925,1.5451793670654297,0.4649007618427276,18.063860245423946
OGLE-BLG-0002,4091125747333397504,276.30242396709536,-20.98234658420143,18.17793655395508,19.195507049560547,1.6868953704833984,1.794263243675232,18.19721065028811
OGLE-BLG-0002,4091125987773395968,276.30073472188855,-20.96167550807128,17.697772979736328,18.78648567199707,1.8610973358154297,0.47691410779953,17.71847489654096
OGLE-BLG-0002,4091125983524857344,276.3008902245048,-20.96277993862427,17.832374572753906,18.893144607543945,1.7909069061279297,2.4490184783935547,17.852520416083028
OGLE-BLG-0002,4091125987830950400,276.29979361673963,-20.96373607500351,17.78545570373535,18.9028434753418,1.935827255249024,0.0,17.806717944660658
OGLE-BLG-0002,4091125983524835712,276.2996405421917,-20.96032106770653,18.45981407165528,19.593477249145508,1.9795799255371087,2.648073434829712,18.48139043219341
OGLE-BLG-0002,4091125983504994176,276.30349609082367,-20.961468215325777,17.740158081054688,18.820985794067383,1.8410396575927728,1.083399772644043,17.760704188475376
OGLE-BLG-0002,4091125983524837504,276.30266705669663,-20.9599140928628,17.691816329956055,18.81439971923828,1.9496822357177728,0.6050720810890198,17.7131798981598
OGLE-BLG-0002,4091125983469617280,276.3021728708697,-20.959366579143705,16.199296951293945,17.365455627441406,2.070178985595703,0.5007386207580566,16.221489925858595
OGLE-BLG-0002,4091125983524837888,276.3034926785512,-20.960112215156112,17.44643783569336,18.510366439819336,1.798715591430664,0.5454456210136414,17.466648576418525
OGLE-BLG-0002,4091125983524878336,276.3043346759677,-20.96254807078893,18.34326171875,19.388776779174805,1.753582000732422,0.721616268157959,18.363102342275845
OGLE-BLG-0002,4091125987831478656,276.3010723499107,-20.96577598065857,18.485445022583008,19.777320861816406,2.4764652252197266,0.0,18.509838985154893
OGLE-BLG-0002,4091125987831485440,276.30444477534235,-20.96050933666984,13.753218650817873,15.074743270874023,2.59149169921875,0.1187860816717147,13.778067092087529
OGLE-BLG-0002,4091125987830951296,276.29781315120044,-20.964590000114423,17.043909072875977,18.037153244018555,1.6304855346679688,0.5739941000938416,17.062684531163907
OGLE-BLG-0002,4091126430181608832,276.2981198620409,-20.94453342454767,18.0730094909668,19.05342483520508,1.6013126373291016,0.0,18.091519299838097
OGLE-BLG-0002,4091126361462130944,276.3003489305564,-20.94817018746193,17.202842712402344,18.39672470092773,2.151325225830078,0.1301914155483245,17.225548479774968
OGLE-BLG-0002,4091126365788647296,276.30393373008064,-20.94691518312915,17.41141700744629,18.51531410217285,1.9003105163574217,0.4763069450855255,17.432416481528985
OGLE-BLG-0002,4091126365788654208,276.30459992471094,-20.9447210524919,16.455589294433594,17.57518768310547,1.9417095184326167,1.139668583869934,16.476894806476338
OGLE-BLG-0002,4091126365788655744,276.2992743927381,-20.948776293012745,17.4189395904541,18.59706115722656,2.1047286987304688,0.6764603853225708,17.441354957280883
OGLE-BLG-0002,4091126434508151936,276.2997995787131,-20.941735156415465,14.78163242340088,15.967083930969238,2.126238822937012,0.1248257756233215,14.804184411695038
OGLE-BLG-0002,4091126434508150912,276.2964561334244,-20.94498668612546,17.9580078125,19.13263320922852,2.09455680847168,0.8131476640701294,17.98035968466864
OGLE-BLG-0002,4091126361426793728,276.3005385523791,-20.949498452452865,17.506561279296875,18.525524139404297,1.6901721954345703,0.7718095779418945,17.52586243586809
OGLE-BLG-0002,4091126361462131072,276.30141984235115,-20.94956130075669,18.24471473693848,19.307886123657227,1.7968406677246094,1.2266314029693604,18.264910002529895
